month,FTSE,EqualWeight,MinVariance
2015-02-01,0.02881315721008347,0.0037048637683182555,-0.013131526034798462
2015-03-01,-0.02532263455313623,-0.031473652267501234,-0.01902083114597342
2015-04-01,0.02732157132437328,0.027475660954326422,0.026236066927691114
2015-05-01,0.00341338512664247,-0.006633096386717031,-0.006415570060575684
2015-06-01,-0.06865133827271724,-0.07336083570494549,-0.0626278833042432
2015-07-01,0.0265273674726469,0.032848601517490895,0.04210363915410163
2015-08-01,-0.06930971422630144,-0.060821248178524,-0.057038789087629625
2015-09-01,-0.03027158391174518,-0.02400967229519796,9.937288036625372e-5
2015-10-01,0.04822752597814877,0.057091484154117765,0.0449766300812022
2015-11-01,-7.863366434191554e-4,0.006422076399781769,0.01329819910155703
2015-12-01,-0.01806632415652914,-0.01720046473728639,0.010644936934924548
2016-01-01,-0.02571920428065032,-0.007937403473136597,-0.015684318591912622
2016-02-01,0.00218379567373487,-0.0025681741484990246,-0.0024154613940431365
2016-03-01,0.01267940791894363,0.0084049768995431,0.008836207873444314
2016-04-01,0.0107919353328396,0.022710113064822998,-0.0048558313378494495
2016-05-01,-0.00177990344471617,-0.011988660007588465,0.007035347146092044
2016-06-01,0.04295876249078764,0.1008884151001275,0.0689790718977437
2016-07-01,0.03327922103929005,0.027762199599553013,0.038318308127930766
2016-08-01,0.00845562876653716,-0.010086412331972534,0.003427376477591122
2016-09-01,0.01722161245186142,0.032113907351433615,0.03328418287670443
2016-10-01,0.00792589281080214,0.004664199027000219,-0.013058681691821273
2016-11-01,-0.02480843355136378,-0.05786706033664198,-0.05707633998163038
2016-12-01,0.0515674408649313,0.05546677877116944,0.04525041444948845
2017-01-01,-0.00612269984245305,0.003814712430986911,0.01645119139333586
2017-02-01,0.02286589616916639,0.024733137451673666,0.044932936570965615
2017-03-01,0.00815838572075667,0.019700771301831153,0.02297281042670376
2017-04-01,-0.01638387856011731,-0.024317674233289215,-0.002265594756809072
2017-05-01,0.0429436054775323,0.061082526327564925,0.04839549350739785
2017-06-01,-0.02795354864176844,-0.025255469991249058,-0.014920781580572072
2017-07-01,0.00807645048759684,0.0038377335350954995,0.02490763004295289
2017-08-01,0.00791758250534237,0.0227367300353261,0.034852037186821824
2017-09-01,-0.00780909616454708,-0.015594449782242992,-0.03134029744817423
2017-10-01,0.01618508396697428,0.010798678073983926,-0.0032874603392281094
2017-11-01,-0.02245737357015776,-0.017770046192437078,-0.014450292347721352
2017-12-01,0.04810939481074708,0.044903286404341124,0.022687299050800937
2018-01-01,-0.02026160317945895,-0.030223726117238645,-0.02994153884717721
2018-02-01,-0.04087124611936924,-0.04723661260905727,-0.03670288149267877
2018-03-01,-0.02453841911520387,-0.0028663820292598027,0.01586883034007882
2018-04-01,0.06217886342589695,0.06246370249814162,0.05391715444659193
2018-05-01,0.02224294375894448,0.021226389424727193,0.02724884738938919
2018-06-01,-0.00539342124056353,-0.008199227633018417,-0.0038609440962161495
2018-07-01,0.01454621857513028,0.023346890034984826,0.017971977408005213
2018-08-01,-0.04168915922411107,-0.047392375298536855,-0.014552018538873071
2018-09-01,0.01041331434899302,0.00824924085998247,-0.008517765568376929
2018-10-01,-0.05221738963521803,-0.029770518834303896,-0.016147420263671067
2018-11-01,-0.02096713531113181,-0.013344527630419574,0.004801132017625873
2018-12-01,-0.03678479730694303,-0.041208472806314296,-0.028223262207835758
2019-01-01,0.03516457874636522,0.023503541565901297,0.02986903523698879
2019-02-01,0.01506768833133244,0.01249766832940516,0.005478350870504685
2019-03-01,0.028495925481334,0.04917838822726736,0.04808744543997954
2019-04-01,0.01891547358597315,0.0062510308207946045,0.030101706347579305
2019-05-01,-0.03518905624802825,-0.013796860312872064,0.010712185677637862
2019-06-01,0.03618609242619121,0.033090115099538846,0.03331896059910084
2019-07-01,0.02147636672823566,0.04856014530876061,0.0495056134581032
2019-08-01,-0.05132931592957476,-0.022150132512347192,0.00588289053830216
2019-09-01,0.02750696772925273,0.017443782445772455,0.0013047630213531786
2019-10-01,-0.02180677980091747,-0.03832683759370867,-0.036377657148923825
2019-11-01,0.01344326795079938,0.00469281538818058,-0.007154394114214424
2019-12-01,0.0263164114781749,0.02277887061016328,0.029233595900780153
2020-01-01,-0.03458572222566676,-0.018832400308396734,-0.005296522587554952
2020-02-01,-0.10182875715592662,-0.09532046051261381,-0.0658394069545641
2020-03-01,-0.14858415220061905,-0.0687926206694976,-0.046919385707481526
2020-04-01,0.03961396392852983,0.011721194905515018,0.009464453746952832
2020-05-01,0.02928959194775147,0.02987528112364925,0.01894995769238538
2020-06-01,0.01520490091951978,0.0062988994375354716,0.01571337097092064
2020-07-01,-0.04507087912358797,-0.05758089955772179,-0.010994800597706062
2020-08-01,0.01109497504545301,-0.028551061089511828,-0.032596365688538666
2020-09-01,-0.01648430749822969,-0.015689409428026005,0.018224722441178176
2020-10-01,-0.05048528114630419,-0.0524262363148397,-0.03646762446762403
2020-11-01,0.1164653881760523,0.09916691941518391,0.049941777440415315
2020-12-01,0.030536572701127,0.012663343108196718,0.009062079245748436
2021-01-01,-0.00823753492404873,0.00896507165663576,-0.00909936898882275
2021-02-01,0.01177586980123277,-0.0052356658764864065,-0.013761458839865714
2021-03-01,0.03489028526849763,0.005716109596251533,-0.022166776354853528
2021-04-01,0.03745116760764544,0.04156045457709397,0.05958131947852896
2021-05-01,0.00754703181044596,0.007648016083578305,0.01878064197648043
2021-06-01,0.00211945972189767,0.012538472148700111,0.003785043526787568
2021-07-01,-7.391996505248165e-4,-0.02456629056142714,-0.020421337073166734
