series,ann_return,ann_vol,sharpe_0rf
FTSE,0.01948650052701706,0.12222940365600093,0.1578922018696023
EqualWeight,0.01954299035672924,0.11749120040494097,0.1647313003510305
MinVariance,0.05450704996186806,0.09985268197716789,0.5315170855733213
