symbol,month,return
LSEG.L,2015-11-01,0.04042870656775072
NG.L,2015-11-01,0.0012263674145842906
RIO.L,2015-11-01,-0.06571205711140145
SHEL.L,2015-11-01,-0.028017324710403864
ULVR.L,2015-11-01,-0.020605196701355483
VOD.L,2015-11-01,0.04578215081696988
^FTSE,2015-11-01,-7.863366434191554e-4
AZN.L,2015-12-01,0.0250039437725301
BATS.L,2015-12-01,-0.02539738748678827
BP.L,2015-12-01,-0.0845954181429223
DGE.L,2015-12-01,-0.02841039225253755
GSK.L,2015-12-01,0.012827427432040303
HSBA.L,2015-12-01,0.012573830433273986
LSEG.L,2015-12-01,0.03485735035320227
NG.L,2015-12-01,0.012558529752904475
RIO.L,2015-12-01,-0.10946927263448276
SHEL.L,2015-12-01,-0.073873718582767
ULVR.L,2015-12-01,0.032118161717534795
VOD.L,2015-12-01,-0.014598631209424723
^FTSE,2015-12-01,-0.01806632415652914
AZN.L,2016-01-01,-0.028341063474118123
BATS.L,2016-01-01,0.03286690681809408
BP.L,2016-01-01,0.06055804619627385
DGE.L,2016-01-01,0.014969502410358172
GSK.L,2016-01-01,0.046950685372676645
HSBA.L,2016-01-01,-0.08541928894458493
LSEG.L,2016-01-01,-0.10358075649875959
NG.L,2016-01-01,0.05023658622584229
RIO.L,2016-01-01,-0.1440145602369406
SHEL.L,2016-01-01,-0.005256339476502208
ULVR.L,2016-01-01,0.05274464997043066
VOD.L,2016-01-01,0.013036789959590591
^FTSE,2016-01-01,-0.025719204280650325
AZN.L,2016-02-01,-0.08829674531768686
BATS.L,2016-02-01,0.007286677562251404
BP.L,2016-02-01,-0.06757486960160057
DGE.L,2016-02-01,-0.013503010648245266
GSK.L,2016-02-01,-0.027458579355868654
HSBA.L,2016-02-01,-0.06862269762967499
LSEG.L,2016-02-01,0.07923417282305459
NG.L,2016-02-01,-0.02288075134831831
RIO.L,2016-02-01,0.10552325103481514
SHEL.L,2016-02-01,0.08206499224026133
ULVR.L,2016-02-01,0.002346165550484983
VOD.L,2016-02-01,-0.018936695091461085
^FTSE,2016-02-01,0.002183795673734872
AZN.L,2016-03-01,-0.05107546120802145
BATS.L,2016-03-01,0.041305395583189485
BP.L,2016-03-01,-0.003706049413609738
DGE.L,2016-03-01,0.012030836155338565
GSK.L,2016-03-01,0.008891953514206163
HSBA.L,2016-03-01,-0.057337573924593106
LSEG.L,2016-03-01,0.05166677822092754
NG.L,2016-03-01,0.02430008776695985
RIO.L,2016-03-01,0.026688894582470535
SHEL.L,2016-03-01,0.02191285149640738
ULVR.L,2016-03-01,0.019377893373998107
VOD.L,2016-03-01,0.006804116647243893
^FTSE,2016-03-01,0.012679407918943635
AZN.L,2016-04-01,0.006513121268504513
BATS.L,2016-04-01,0.019370880058102228
BP.L,2016-04-01,0.065225442119884125
DGE.L,2016-04-01,-0.019048272520370765
GSK.L,2016-04-01,0.03274409374395557
HSBA.L,2016-04-01,0.04197375060754324
LSEG.L,2016-04-01,-0.038681842231384586
NG.L,2016-04-01,-0.012640421323148469
RIO.L,2016-04-01,0.1624803603623985
SHEL.L,2016-04-01,0.05516056647124412
ULVR.L,2016-04-01,-0.031493979355771765
VOD.L,2016-04-01,-0.009082342423080767
^FTSE,2016-04-01,0.010791935332839604
AZN.L,2016-05-01,0.025139594081099264
BATS.L,2016-05-01,0.006692072515889682
BP.L,2016-05-01,-0.044960466383186196
DGE.L,2016-05-01,0.013184715597019088
GSK.L,2016-05-01,-0.009481878975957979
HSBA.L,2016-05-01,-0.016427954699746478
LSEG.L,2016-05-01,0.008174152484907493
NG.L,2016-05-01,0.03249899629342439
RIO.L,2016-05-01,-0.16915059094470425
SHEL.L,2016-05-01,-0.07083171184274017
ULVR.L,2016-05-01,0.029515702220159517
VOD.L,2016-05-01,0.051783449562774066
^FTSE,2016-05-01,-0.001779903444716175
AZN.L,2016-06-01,0.10344706994912713
BATS.L,2016-06-01,0.14292654470400765
BP.L,2016-06-01,0.2041252036884861
DGE.L,2016-06-01,0.10928226891374682
GSK.L,2016-06-01,0.10470262851176691
HSBA.L,2016-06-01,0.0457842903447482
LSEG.L,2016-06-01,-0.07751698439367732
NG.L,2016-06-01,0.08495017153704125
RIO.L,2016-06-01,0.16632130935709888
SHEL.L,2016-06-01,0.21130922050728249
ULVR.L,2016-06-01,0.1289516844340996
VOD.L,2016-06-01,-0.013622426352197573
^FTSE,2016-06-01,0.04295876249078764
AZN.L,2016-07-01,0.12227485687558572
BATS.L,2016-07-01,-0.0038274822079276973
BP.L,2016-07-01,-0.026128402787630796
DGE.L,2016-07-01,0.03508293871133002
GSK.L,2016-07-01,0.05073218370709475
HSBA.L,2016-07-01,0.06078883330502372
LSEG.L,2016-07-01,0.09203625964991276
NG.L,2016-07-01,-0.011931963058303572
RIO.L,2016-07-01,0.070473951103637
SHEL.L,2016-07-01,-0.05187209233898124
ULVR.L,2016-07-01,-0.01279423756542504
VOD.L,2016-07-01,0.00831154980032061
^FTSE,2016-07-01,0.03327922103929005
AZN.L,2016-08-01,-0.027788461628228393
BATS.L,2016-08-01,-0.020735873645457793
BP.L,2016-08-01,0.0026389298738462826
DGE.L,2016-08-01,-0.024427373518804814
GSK.L,2016-08-01,-0.029319159810604657
HSBA.L,2016-08-01,0.13096689541328305
LSEG.L,2016-08-01,-0.007190881007039474
NG.L,2016-08-01,-0.034283754137862714
RIO.L,2016-08-01,-0.06729193207592045
SHEL.L,2016-08-01,-0.04371816770860017
ULVR.L,2016-08-01,-0.001193336682172203
VOD.L,2016-08-01,0.001306166943890895
^FTSE,2016-08-01,0.008455628766537162
AZN.L,2016-09-01,0.01916725250968681
BATS.L,2016-09-01,0.04247145632345937
BP.L,2016-09-01,0.05035841594471536
DGE.L,2016-09-01,0.04724235018539957
GSK.L,2016-09-01,0.0024375081303298963
HSBA.L,2016-09-01,0.02519846705908003
LSEG.L,2016-09-01,0.016202038734742217
NG.L,2016-09-01,0.04255969054574317
RIO.L,2016-09-01,0.11231145089341678
SHEL.L,2016-09-01,0.028349909701949217
ULVR.L,2016-09-01,0.03494489686360927
VOD.L,2016-09-01,-0.035876548674928274
^FTSE,2016-09-01,0.017221612451861427
AZN.L,2016-10-01,-0.08679351616277776
BATS.L,2016-10-01,-0.04958672616638029
BP.L,2016-10-01,0.07221692147461994
DGE.L,2016-10-01,-0.014123564709033063
GSK.L,2016-10-01,-0.015024218239007282
HSBA.L,2016-10-01,0.06291596694855356
LSEG.L,2016-10-01,0.0035649931663109874
NG.L,2016-10-01,-0.02503626645411801
RIO.L,2016-10-01,0.09797264953319894
SHEL.L,2016-10-01,0.06301915841469194
ULVR.L,2016-10-01,-0.06681563748109244
VOD.L,2016-10-01,0.013660627999036123
^FTSE,2016-10-01,0.007925892810802143
AZN.L,2016-11-01,-0.10045630841232794
BATS.L,2016-11-01,-0.06562608823699612
BP.L,2016-11-01,-0.05126167693564357
DGE.L,2016-11-01,-0.08345127771589063
GSK.L,2016-11-01,-0.07889240820243686
HSBA.L,2016-11-01,0.030368165973339023
LSEG.L,2016-11-01,-0.022310914649288003
NG.L,2016-11-01,-0.15362548730219
RIO.L,2016-11-01,0.051645251561018395
SHEL.L,2016-11-01,-0.005971689468735593
ULVR.L,2016-11-01,-0.06715564978822679
VOD.L,2016-11-01,-0.14766664086232584
^FTSE,2016-11-01,-0.024808433551363786
AZN.L,2016-12-01,0.06710336871545523
