symbol,date,return
HSBA.L,2015-01-16,-0.004870524779711235
LSEG.L,2015-01-16,0
NG.L,2015-01-16,0.006565295656571535
RIO.L,2015-01-16,0.016053381548858197
SHEL.L,2015-01-16,0.017513095562313445
ULVR.L,2015-01-16,0.00547518139297929
VOD.L,2015-01-16,-4.3905620752820583e-4
^FTSE,2015-01-16,0.007893305887850675
AZN.L,2015-01-19,0.00211884137136616
BATS.L,2015-01-19,0.0038983182318500947
BP.L,2015-01-19,-0.010824038550704594
DGE.L,2015-01-19,0.004746950205748675
GSK.L,2015-01-19,0.005574779971605821
HSBA.L,2015-01-19,0.0038648702947654935
LSEG.L,2015-01-19,0.012778227849717107
NG.L,2015-01-19,0.00489609875637971
RIO.L,2015-01-19,-0.011315343235922065
SHEL.L,2015-01-19,0.008760017244864537
ULVR.L,2015-01-19,-0.0065740425294403965
VOD.L,2015-01-19,0.007217212837093815
^FTSE,2015-01-19,0.005359442149281101
AZN.L,2015-01-20,-0.003604216968489012
BATS.L,2015-01-20,0.003745330904689616
BP.L,2015-01-20,0.008038052894254046
DGE.L,2015-01-20,-0.001579771317200708
GSK.L,2015-01-20,0.002082809856216548
HSBA.L,2015-01-20,-0.001006769921916284
LSEG.L,2015-01-20,0.015207816003462597
NG.L,2015-01-20,0.006382583494704623
RIO.L,2015-01-20,0.010276063627675228
SHEL.L,2015-01-20,-0.0018878954328045375
ULVR.L,2015-01-20,-0.005880285182463637
VOD.L,2015-01-20,0.002394230964221569
^FTSE,2015-01-20,0.005240227869519848
AZN.L,2015-01-21,7.43119585154907e-4
BATS.L,2015-01-21,0.021638755390149544
BP.L,2015-01-21,0.03293081697534156
DGE.L,2015-01-21,0.018535942034013042
GSK.L,2015-01-21,0.016165640609200702
HSBA.L,2015-01-21,0.01648204723828511
LSEG.L,2015-01-21,0.009442282934645505
NG.L,2015-01-21,0.0059138058174318395
RIO.L,2015-01-21,0.01342551071121788
SHEL.L,2015-01-21,0.02172798814166124
ULVR.L,2015-01-21,0.0236762916273758
VOD.L,2015-01-21,0.0348211956654387
^FTSE,2015-01-21,0.016167432344162964
AZN.L,2015-01-22,-0.004680252423835543
BATS.L,2015-01-22,0.011852078401375888
BP.L,2015-01-22,0.005618149631520475
DGE.L,2015-01-22,0.002583300496756399
GSK.L,2015-01-22,0.015572170748648844
HSBA.L,2015-01-22,0.02398402617887848
LSEG.L,2015-01-22,0.016522091375033167
NG.L,2015-01-22,0.002355872816839734
RIO.L,2015-01-22,0.014259175802244565
SHEL.L,2015-01-22,0.005990312282754698
ULVR.L,2015-01-22,0.0025165590544976805
VOD.L,2015-01-22,0.0023071889447377567
^FTSE,2015-01-22,0.010144578838129055
AZN.L,2015-01-23,0.009338805600403902
BATS.L,2015-01-23,0.015015928107655589
BP.L,2015-01-23,0.00929357932596661
DGE.L,2015-01-23,0.016123173313105033
GSK.L,2015-01-23,0.007696125380517783
HSBA.L,2015-01-23,0.007227801805899296
LSEG.L,2015-01-23,-0.0025242233401940022
NG.L,2015-01-23,0.0020298847436089826
RIO.L,2015-01-23,-0.02855140797258985
SHEL.L,2015-01-23,0.0038978880536667273
ULVR.L,2015-01-23,0.024473983551253815
VOD.L,2015-01-23,0.005014341823121812
^FTSE,2015-01-23,0.005312015556475896
AZN.L,2015-01-26,-0.007102531741292677
BATS.L,2015-01-26,-0.0030381397496533325
BP.L,2015-01-26,0.015148417338899947
DGE.L,2015-01-26,-0.0012700955392306367
GSK.L,2015-01-26,-0.0010004331868602827
HSBA.L,2015-01-26,0.003674992998438035
LSEG.L,2015-01-26,0.012973499129024907
NG.L,2015-01-26,-0.005458243211886366
RIO.L,2015-01-26,0.0015596945287749933
SHEL.L,2015-01-26,0.012055186425076412
ULVR.L,2015-01-26,0.01322651770090674
VOD.L,2015-01-26,-0.005224106450981679
^FTSE,2015-01-26,0.0028644245575207426
AZN.L,2015-01-27,0.005305075948058539
BATS.L,2015-01-27,-0.0062373778333766694
BP.L,2015-01-27,0.0036380532742809734
DGE.L,2015-01-27,-0.012791420649853134
GSK.L,2015-01-27,-0.009723574008235055
