symbol,w_equal,w_minvar
ULVR.L,0.08333333333333333,0.22641959985861934
LSEG.L,0.08333333333333333,0.18535006575210836
HSBA.L,0.08333333333333333,0.14758579318290307
DGE.L,0.08333333333333333,0.14691277879343942
NG.L,0.08333333333333333,0.1438552644893123
AZN.L,0.08333333333333333,0.0673844322475566
GSK.L,0.08333333333333333,0.03516030999662907
RIO.L,0.08333333333333333,0.034157533636083245
SHEL.L,0.08333333333333333,0.013174222043348652
VOD.L,0.08333333333333333,6.207229564155615e-19
BATS.L,0.08333333333333333,1.429730253924118e-20
BP.L,0.08333333333333333,0
